food_code,food_name,category,kcal_100g,protein_100g,carbs_100g,fat_100g,sugars_100g,fiber_100g
12752,"Saint-Nectaire cheese, from cow's milk",milk and milk products,342.0,23.5,0.5,27.5,0.0,0.0
12751,"Saint-Nectaire cheese, from cow's milk, milk collected in an unique farm",milk and milk products,360.0,22.3,1.2,29.8,0.5,0.0
12748,"Saint-Nectaire cheese, from cow's milk, milk collected in many farms",milk and milk products,333.0,21.7,0.9,27.2,3.3e-05,0.0
12755,"Saint-Paulin, firm cheese, from cow's milk (semi-hard cheese)",milk and milk products,327.0,22.3,0.0,26.4,0.0,0.0
12842,"Sainte Maure cheese, from goat's milk",milk and milk products,298.0,20.0,0.91,24.0,0.52,2.5e-05
26015,"Saithe, cooked","meat, egg and fish",99.7,23.1,1.0,0.81,0.0,0.0
26047,"Saithe, frozen, raw","meat, egg and fish",82.4,19.8,0.0,0.37,0.0,0.0
26134,"Saithe, raw","meat, egg and fish",82.5,18.8,0.0,0.8,0.0,0.0
1026,Sake or rice wine,beverages,113.0,0.0,0.0,0.0,0.0,0.0
11110,"Salad dressing, (50-75% of oil), prepacked",miscellaneous,475.0,0.55,2.91,51.0,2.11,0.75
11248,"Salad dressing, Caesar style, prepacked",miscellaneous,448.0,1.8,7.04,45.7,5.09,1.0
11108,"Salad dressing, olive oil (50-75% fat), prepacked",miscellaneous,471.0,0.7,3.03,50.5,2.73,0.53
11187,"Salad dressing, prepacked",miscellaneous,303.0,0.61,6.17,30.5,4.17,0.56
11109,"Salad dressing, reduced fat (25-50% of oil), prepacked",miscellaneous,251.0,0.25,2.39,26.4,1.73,0.5
11198,"Salad dressing, reduced fat, prepacked",miscellaneous,160.0,0.8,6.7,14.3,4.55,0.62
25610,"Salad of ox muzzle, with sauce, prepacked",starters and dishes,118.0,11.7,0.8,7.6,0.6,0.0
8406,"Salad of pig's snout, with sauce, prepacked",starters and dishes,172.0,8.51,0.89,14.8,0.64,0.75
8407,"Salad of saveloy, with sauce, prepacked",starters and dishes,259.0,7.6,1.93,24.2,1.29,1.28
25629,"Salad, veggie, bulgur and/or quinoa-based, with vegetables, prepacked",starters and dishes,168.0,3.79,17.4,8.3,4.61,3.3
30350,Salami,"meat, egg and fish",457.0,17.7,2.59,41.8,0.2,0.0
30366,"Salami, Danish-style","meat, egg and fish",455.0,14.5,2.42,43.0,0.5,0.0
30351,"Salami, pure pork","meat, egg and fish",446.0,17.0,0.75,41.5,0.5,0.5
26111,"Salema, raw","meat, egg and fish",96.5,18.0,0.5,2.5,0.0,0.0
12725,"Salers cheese, from cow's milk",milk and milk products,388.0,25.9,0.0,31.4,0.2,0.0
25537,"Salmon carpaccio, with marinade, home-made","meat, egg and fish",238.0,16.9,0.22,18.8,0.0,0.26
17645,Salmon oil,fats and oils,900.0,0.0,0.0,100.0,0.0,0.0
26275,"Salmon roe, semi-preserved","meat, egg and fish",240.0,30.8,5.16,10.5,0.2,1.0
27021,"Salmon trout, raw","meat, egg and fish",143.0,19.2,0.0,7.4,0.0,0.0
26998,"Salmon trout, sautéed/pan-fried without added fat","meat, egg and fish",146.0,22.0,0.0,6.4,0.0,0.0
25077,"Salmon with sorrel, prepacked",starters and dishes,157.0,9.5,8.23,9.5,0.5,0.5
26217,"Salmon, boiled/cooked in water, farmed","meat, egg and fish",193.0,25.0,0.0,10.3,0.0,0.0
26119,"Salmon, canned, drained","meat, egg and fish",144.0,21.0,4.9,4.5,0.0,0.0
25996,"Salmon, cooked (average)","meat, egg and fish",205.0,23.2,0.61,12.2,0.0,0.0
26230,"Salmon, farmed, roasted/baked","meat, egg and fish",214.0,22.1,0.98,13.5,0.0,0.0
26229,"Salmon, grilled/pan-fried without added fat","meat, egg and fish",223.0,25.5,0.0,13.5,0.0,0.0
26211,"Salmon, microwaved, farmed","meat, egg and fish",200.0,24.2,0.0,11.4,0.0,0.0
26036,"Salmon, raw, farmed","meat, egg and fish",193.0,20.5,0.0,12.4,0.0,0.25
26037,"Salmon, smoked","meat, egg and fish",184.0,22.2,0.13,10.5,0.13,0.26
26696,"Salmon, smoked, farmed","meat, egg and fish",188.0,22.1,0.14,11.0,0.0,0.0
25993,"Salmon, smoked, marinated with dill and lemon","meat, egg and fish",201.0,21.2,0.37,12.8,0.37,0.0001
25992,"Salmon, smoked, with spices","meat, egg and fish",199.0,22.6,1.44,11.4,0.56,0.0001
26038,"Salmon, steamed","meat, egg and fish",199.0,23.0,0.9,11.5,0.0,0.0
26161,"Salmon, wild, raw","meat, egg and fish",166.0,21.0,0.0,9.17,0.0,0.0
26695,"Salmon, wild, smoked","meat, egg and fish",121.0,23.6,0.048,2.91,0.0,0.0
20197,"Salsify, black, raw","fruits, vegetables, legumes and nuts",83.0,3.13,15.3,0.3,0.0,3.3
20333,"Salsify, boiled/cooked in water","fruits, vegetables, legumes and nuts",56.9,2.63,9.29,0.3,2.3,4.5
20081,"Salsify, canned, drained","fruits, vegetables, legumes and nuts",29.2,1.33,4.33,0.17,1.0,2.5
20046,"Salsify, cooked","fruits, vegetables, legumes and nuts",67.7,2.73,12.3,0.17,2.9,3.1
20237,"Salsify, frozen, raw","fruits, vegetables, legumes and nuts",41.1,2.34,4.68,0.16,2.5,5.8
11082,"Salt, pure sea salt, no fortification",miscellaneous,0.0,0.0,0.0,0.0,0.0,0.0
11083,"Salt, sea salt, grey, no fortification",miscellaneous,0.0,0.0,0.0,0.0,0.0,0.0
11096,"Salt, white (sea, igneous or rock), iodine added, fluoride added 25 mg/100 g",miscellaneous,0.0,0.0,0.0,0.0,0.0,0.0
11058,"Salt, white (sea, igneous or rock), iodine added, no fluride added",miscellaneous,0.0,0.0,0.0,0.0,0.0,0.0
11017,"Salt, white (sea, igneous or rock), no fortification",miscellaneous,0.0,0.0,0.0,0.0,0.0,0.0
11044,"Salt, with celery",miscellaneous,49.0,1.81,4.14,2.53,0.0,1.19
25010,"Salt-cured pork belly with lentils, prepacked",starters and dishes,118.0,8.24,8.89,4.87,1.51,2.83
38408,"Salted crispy crepe, filled, prepacked",cereal products,555.0,9.3,48.8,35.6,14.2,1.25
38109,"Salty snack, filled, prepacked",cereal products,651.0,9.75,28.2,54.7,5.54,1.44
38399,"Salty snacks, crackers (average)",cereal products,480.0,10.2,61.2,20.9,4.41,3.34
38416,"Salty snacks, crackers made from rice and coated peanuts, japanese style",cereal products,409.0,10.8,72.0,8.27,10.1,1.94
38405,"Salty snacks, crackers, made from potato",cereal products,521.0,4.63,59.1,28.8,2.86,3.31
38402,"Salty snacks, crackers, made from wheat, plain or flavoured",cereal products,499.0,10.4,59.1,23.8,5.45,3.12
38403,"Salty snacks, crackers, made from wheat, plain, reduced fat",cereal products,410.0,6.53,73.1,9.33,3.97,3.67
38411,"Salty snacks, crackers, made from wheat, various types",cereal products,501.0,8.88,58.2,25.3,6.87,2.78
38401,"Salty snacks, crackers, made from wheat, with cheese",cereal products,519.0,14.8,47.0,29.4,4.36,3.86
38107,"Salty snacks, crackers, mini pretzels or sticks",cereal products,376.0,11.2,73.7,3.13,2.0,4.32
38413,"Salty snacks, crackers, mini waffle, filled",cereal products,585.0,10.4,39.6,42.4,9.44,2.19
38410,"Salty snacks, crackers, puff pastry, with cheese",cereal products,524.0,13.1,50.2,29.6,2.14,2.2
38407,"Salty snacks, crackers, puff pastry, without cheese",cereal products,476.0,10.9,59.7,20.7,1.74,3.68
25438,"Samosas or samoosas or filled filo pastry, home-made, cooked",starters and dishes,187.0,12.2,8.48,11.5,0.72,0.59
25108,"Samosas or samoosas or filled filo pastry, prepacked, cooked",starters and dishes,230.0,9.33,16.5,13.7,2.45,1.8
11246,"Samourai style sauce, prepacked",miscellaneous,523.0,1.11,5.09,55.2,3.04,0.65
25522,Sandwich (average),starters and dishes,280.0,12.4,30.3,11.7,2.03,2.08
25543,Sandwich baguette (average),starters and dishes,293.0,11.7,33.2,12.1,2.21,2.08
7201,"Sandwich loaf, crustless, prepacked",cereal products,266.0,6.93,50.2,3.23,7.5,2.89
7116,"Sandwich loaf, gluten free, prepacked",cereal products,242.0,3.36,41.2,5.1,5.16,7.4
7113,"Sandwich loaf, multigrain and/or with seeds, prepacked",cereal products,290.0,8.84,43.5,6.6,5.6,5.9
7117,"Sandwich loaf, no added sugars, prepacked",cereal products,290.0,7.01,48.1,5.9,6.13,4.0
7200,"Sandwich loaf, prepacked",cereal products,279.0,7.06,50.4,4.37,6.14,2.83
7109,"Sandwich loaf, wholemeal, crust less, prepacked",cereal products,245.0,7.07,42.8,3.2,5.91,6.6
7111,"Sandwich loaf, wholemeal, prepacked",cereal products,257.0,7.3,41.8,4.1,5.63,7.3
25658,"Sandwich, Viennese bread, chicken and raw vegetables, prepacked",starters and dishes,234.0,10.1,26.4,9.28,4.16,2.2
